StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q4,Q37,Q7,Q46,Q47,Q48,Q176,Q91,Q56,Q57,Q57_5_TEXT,Q58,Q58_13_TEXT,Q59,Q59_13_TEXT,Q90,Q61,Q104,Q62,Q67,Q69,Q71,Q72,Q107,Q116,Q108,Q114,Q109,Q110,Q111,Q112,Q113,privacyScore,Q62_coded,Q104_coded,Q61_coded,Q62_coded_old
11/15/21 8:05,11/15/21 8:11,0,100,358,1,11/15/21 8:11,R_3DoSo1nsJgtGn6P,anonymous,EN,1,1,1,1,6,1,10,8,1,"1,2",,"2,3,4,5,12",,12,,23,When there is noise in my house.,"Not many, just to be on my phone or Watching TV.",It doesn't produce my audio on the other participant's platform or computer. ,23,random,"3,4",4,1,1,2,5,2,2,2,2,3,1.875,"Block Sending,","Watching TV,,","No interruption,","block sending,"
11/15/21 8:06,11/15/21 8:12,0,100,378,1,11/15/21 8:12,R_eVu2tcf4bB5RwOd,anonymous,EN,1,1,1,2,6,1,7,7,1,"1,4",,"2,4,5",,2,,23,so that the meeting is not interrupted by the noise on my side,watching tv,"when you press the mute button, sound or audio from your microphone is cut off so the other meeting participants cannot hear anything from you",23,random,"2,3,4","2,3,4",2,1,2,5,2,1,3,2,-1,1.5,"Disable Access,Block Sending","Watching TV,,","No interruption,","Cut,block sending"
11/15/21 8:07,11/15/21 8:13,0,100,349,1,11/15/21 8:13,R_3qmGS9UpYv0dgVH,anonymous,EN,1,1,1,1,7,2,2,8,3,1,,"2,4,13","Skype, Whatsapp",13,Skype,23,Either because I don't want to disturb the person speaking or because I want to do something else (that will produce noise) while in the meeting (e.g. answering the phone).,"Anything: listening to music, being on the phone with someone else, working, watching a movie, masturbating.",It stops the sound I make from being broadcasted to the other participants of the video meeting.,23,random,4,4,3,3,3,5,3,1,2,3,3,2.625,"Block Sending,","Music,Online Videos/game,","No interruption,Hide Activities","block sending,"
11/15/21 8:08,11/15/21 8:14,0,100,350,1,11/15/21 8:14,R_12MAgWrBs9yLKVc,anonymous,EN,1,1,1,1,4,1,10,8,3,1,,"2,5,12",,12,,23,"So I can avoid making any sounds as other people speak, or if I'm not feeling too social.",Music or if someone else has walked into my room. Maybe if I need to take a phone call as well.,Makes it so the others can't hear any sounds from my side of the call.,21,random,4,4,2,2,3,5,3,0,1,1,1,1.625,"Block Sending,","Music,Talking,","No interruption,Comfort","block sending,"
11/15/21 8:10,11/15/21 8:14,0,100,224,1,11/15/21 8:14,R_AFgxzt2BlBZKdvX,anonymous,EN,1,1,1,2,6,1,10,8,2,3,,"2,3,4",,2,,23,to not be heard,"text, watch movies and videos, browse the internet, get ready",it stops emitting sound from my end,23,random,"2,3,4,5",4,2,2,3,5,3,2,1,2,3,2.25,"Block Sending,","Watching TV,,","Hide Activities,","block sending,"
11/15/21 8:08,11/15/21 8:14,0,100,394,1,11/15/21 8:14,R_3KvV6BG7MwYEWaB,anonymous,EN,1,1,1,2,6,2,10,8,3,3,,2,,2,,23,"It was for a meeting with more than 2 people involved, so to control noise and making sure everybody could hear one another when I wasn't talking I would mute my microphone.",Normally I'm completely focus on the the meetings I'm having so no other extra activities when muted in a video meeting.,It just signals that your microphone/camera is turned off and continues normally.,22,random,4,4,2,0,2,5,2,1,3,1,3,1.75,"Indicator,Suspicious","Silent activities,,","No interruption,","Visual/UI,suspicious"
11/15/21 8:09,11/15/21 8:14,0,100,289,1,11/15/21 8:14,R_1lz4yV1Toj64aJb,anonymous,EN,1,1,1,2,6,1,5,8,2,1,,"2,4,5,12",,5,,23,to carry out the activities in the background,"Cooking, Netflix and read a book","Silence in the conversation/presentation, as long as the button is selected",23,random,"2,3,4,5","3,4,5",3,2,3,5,3,2,3,3,3,2.75,"Block Sending,","Cooking/eating,Watching TV,","Hide Activities,","block sending,"
11/15/21 8:09,11/15/21 8:14,0,100,343,1,11/15/21 8:14,R_7NEbzQhsZ2RNAWd,anonymous,EN,1,1,1,2,3,1,2,8,2,1,,"2,4,5,12",,5,,23,So that people won't listen to private activities or conversations.,"Watch TV, talk to other people, study...",The app stops recording the sound surrounding myself and it often relegates my camera or profile to a less relevant position within the videocall.,23,random,"2,3,4,5",4,2,2,3,5,2,3,3,3,2,2.5,"Disable Access,Generic","Watching TV,Talking,","Hide Activities,","disable,generic"
11/15/21 8:08,11/15/21 8:14,0,100,365,1,11/15/21 8:14,R_1i2Ps3P3EbUELUn,anonymous,EN,1,1,1,1,6,1,3,8,1,"1,3",,"3,12",,12,,23,Mainly to make sure that there is no background noise on the call.,I usually do not perform any activities in the background.,It stops broadcasting my microphone sound to my colleagues in the call.,23,random,"3,4",4,2,3,3,5,3,2,1,2,2,2.25,"Block Sending,","Silent activities,,","No interruption,","block sending,"
11/15/21 8:09,11/15/21 8:14,0,100,342,1,11/15/21 8:14,R_2Eh5XfLWPTYR6t0,anonymous,EN,1,1,1,1,4,1,1,8,1,"1,4",,"2,12",,12,,23,I mostly attend classes online so it is best to keep myself muted,"Cooking/eating, watching tv, playing video games, ....",a red dash appears over the microphone symbol,23,random,4,4,2,2,2,5,2,2,1,3,3,2.125,"Indicator,","Cooking/eating,Watching TV,Online Videos/game","No Talk,","Visual/UI,"
11/15/21 8:06,11/15/21 8:15,0,100,512,1,11/15/21 8:15,R_3r1IlHsWc5N4wO1,anonymous,EN,1,1,1,2,3,2,10,8,1,1,,"2,4,5",,4,,23,So the surrounding sounds don't interfere with the meeting when I'm not speaking.,"Read emails, work on some project.",Just turn off my microphone.,23,random,"2,3,4,5",4,3,3,1,5,3,-1,0,-1,-2,0.75,"Disable Access,","Silent activities,,","No interruption,","disable,"
11/15/21 8:07,11/15/21 8:14,0,100,474,1,11/15/21 8:15,R_2VNQnRuTpZ5h7Nb,anonymous,EN,1,1,1,2,4,1,10,8,1,1,,"2,12",,2,,23,To make other participants stop listening to what happening in my home,"playing, studying other subjects",Stops sending my audio to the meeting,23,random,"2,3,4,5",4,3,2,3,5,3,2,3,2,1,2.375,"Block Sending,","Online Videos/game,,","Hide Activities,","block sending,"
11/15/21 8:07,11/15/21 8:15,0,100,455,1,11/15/21 8:15,R_3hDzWlat3xS90XF,anonymous,EN,1,1,1,2,6,2,1,8,3,1,,"2,4",,4,,23,"So there are interferences when the someone is taking and so that I am not heard on the other side typing, chewing, conversing etc.",Respond to emails,It blocks out any sound from my side.,23,random,"3,4","3,4",3,3,3,5,3,3,3,3,3,3,"Block Sending,","Silent activities,,","Hide Activities,","block sending,"
11/15/21 8:11,11/15/21 8:15,0,100,225,1,11/15/21 8:15,R_OOUHYqQU5FYq01z,anonymous,EN,1,1,1,2,7,3,1,8,3,3,,"2,3,4,6",,2,,23,To ensure that I did not accidentally speak when it was not my turn and that background noise did not interfere with the meeting.,Checking other tabs on my browser,It prevents sound detected by my microphone from being transmitted to other participants in the meeting,23,random,"2,3,4,5",4,0,0,2,5,3,-2,-2,-2,-1,-0.25,"Block Sending,","Silent activities,,","No interruption,","block sending,"
11/15/21 8:09,11/15/21 8:15,0,100,352,1,11/15/21 8:15,R_22rkXdEC7PqjvW5,anonymous,EN,1,1,1,1,2,1,9,8,1,"1,2",,"2,5,12",,5,,23,So that the noise from my microphone doesn't interfere with the speaker.,"Browse the internet on either my phone or computer, draw, sometimes even eat.","When the mute button is pressed, the app doesn't send the sound from my mic to other participants.",23,random,"2,3,4,5","3,4",3,3,3,5,3,3,3,3,3,3,"Block Sending,","Cooking/eating,,","No interruption,","block sending,"
11/15/21 8:11,11/15/21 8:15,0,100,271,1,11/15/21 8:15,R_73a5daCh7xLSXlf,anonymous,EN,1,1,1,2,3,1,10,8,1,1,,"2,5,12",,12,,23,So that I don't bother other people. So I feel more comfortable.,"Watching TV, watching videos, Talking to other people or listening to music.",It doesn't let other people hear me.,23,random,"1,2,3,4,5",4,2,0,3,5,2,2,2,2,2,1.875,"Block Sending,","Watching TV,Music,Talking","No interruption,Comfort","block sending,"
11/15/21 8:09,11/15/21 8:15,0,100,385,1,11/15/21 8:15,R_1Hi8Sr5w6xMdXu7,anonymous,EN,1,1,1,1,4,1,10,8,3,1,,"2,12",,12,,23,background noise,background noise that i want heard or to step away ,mutes my audio,23,random,"2,3,4,5",4,3,3,3,5,3,1,2,0,0,1.875,"Generic,","Street Noise,,","No interruption,","generic,"
11/15/21 8:11,11/15/21 8:15,0,100,255,1,11/15/21 8:15,R_3FKlUzd6RIl8Lcd,anonymous,EN,1,1,1,1,7,2,1,8,1,1,,"2,4,12",,4,,23,To enter the meeting quietly and in order to not disturb others with my background noise.,Browsing websites,Disables input of my microphone so as to not transmit any sound to other people in the meeting.,23,random,"3,4,5",4,3,3,3,5,3,2,2,3,3,2.75,"Block Sending,Disable Access","Silent activities,,","No interruption,","block sending,disable"
11/15/21 8:08,11/15/21 8:15,0,100,419,1,11/15/21 8:15,R_2zYZnKGPIV18Oqs,anonymous,EN,1,1,1,2,6,1,1,8,2,1,,"2,4",,2,,23,"So that the other participants don't get to here what I'm busy with during the meeting, that is if I do not have to comment during the meeting","Cooking, music",It mutes what is going on in your setting or backgorund,22,random,4,4,2,2,-3,5,2,3,3,3,2,1.75,"Generic,","Cooking/eating,Music,","Hide Activities,","generic,"
11/15/21 8:08,11/15/21 8:15,0,100,464,1,11/15/21 8:15,R_31aYR7AmUhJFTKh,anonymous,EN,1,1,1,2,6,1,10,8,3,1,,"2,4,10",,4,,23,To avoid background noise from my speaker when others are speaking. ,Watching TV,The app disconnects disables the laptops ability to record sounds from my speaker and relay it to the app being used. ,23,Random ,"3,4","3,4",2,2,3,5,3,1,2,2,1,2,Disable Access,"Watching TV,,","No interruption,","disable,MicToApp"
11/15/21 8:09,11/15/21 8:16,0,100,374,1,11/15/21 8:16,R_2saTbb7olgGF8ZR,anonymous,EN,1,1,1,1,3,1,9,8,1,1,,"2,4,5,6,12",,4,,23,to mute my mircophone so others can't hear me ,"browsing internet, playing games, doing homework ",the app cuts off your microphone feed so it's not played to others in the meeting.,23,random,"2,3,4,5",4,1,2,3,5,2,-1,-1,-2,0,0.5,"Disable Access,Block Sending","Online Videos/game,,","Hide Activities,","Cut,block sending"
11/15/21 8:09,11/15/21 8:16,0,100,423,1,11/15/21 8:16,R_1OSHYeFDKpko4ix,anonymous,EN,1,1,1,2,4,1,1,8,3,"1,4",,"2,4,5,6,7,12",,2,,23,Sometimes I am interrupted by my family that I live with that I have to mute my microphone.,"Watching TV , cooking","It muted my microphone or my audio correspondence, so the other people in the meeting can't hear me.",23,random,4,4,3,0,3,5,3,3,3,3,3,2.625,"Block Sending,Generic","Watching TV,Cooking/eating,","Hide Activities,","block sending,generic"
11/15/21 8:12,11/15/21 8:16,0,100,218,1,11/15/21 8:16,R_AvrUYNjmZGzXLGN,anonymous,EN,1,1,1,1,4,1,10,8,1,1,,"4,12",,12,,23,To not do noise when others talk,Eating,The app mutes my microphone.,23,random,4,4,3,3,3,5,3,3,3,3,3,3,"Generic,","Cooking/eating,,","No interruption,","generic,"
11/15/21 8:10,11/15/21 8:16,0,100,349,1,11/15/21 8:16,R_2SctFu8B1N8Rrjk,anonymous,EN,1,1,1,2,4,1,9,7,1,1,,"2,4,5,12",,4,,23,"Because I don't want others to hear e.g. how loud my laptop is, keyboard clicking, me doing other things","Scrolling social media, preparing food, going to the toilet",Now that I've been asked this I'm not sure - I suppose the noises are registered by the app but not shared with other participants,23,random,"3,4,5",4,2,-1,3,5,3,-1,1,1,1,1.125,"Correct,","Cooking/eating,Bathroom,","Hide Activities,","correct,"
11/15/21 8:11,11/15/21 8:16,0,100,262,1,11/15/21 8:16,R_2bUFYQFi0hUzxDH,anonymous,EN,1,1,1,1,6,2,1,8,1,1,,"2,4",,4,,23,Because I have kids.,I usually concentrate on the matter. If I would shadowing a meeting I rather just tell everyone and quit.,It doesn’t send any audio from me to other participants.,23,random,"2,3,4,5",4,2,3,0,5,1,3,2,3,3,2.125,"Block Sending,","Silent activities,,","No interruption,","block sending,"
11/15/21 8:08,11/15/21 8:16,0,100,485,1,11/15/21 8:16,R_RaY7opS027JaVmp,anonymous,EN,1,1,1,2,6,1,7,8,1,1,,"2,4",,2,,23,To use the bathroom,Using the bathroom ,The silent emoji shows up,23,random,"4,5","4,5",3,3,3,5,3,3,3,3,0,2.625,"Indicator,","Bathroom,,","Hide Activities,","Visual/UI,"
11/15/21 8:10,11/15/21 8:16,0,100,341,1,11/15/21 8:16,R_1BQ3w9ra7U3s4pG,anonymous,EN,1,1,1,1,3,1,10,8,2,1,,"2,4,5,12,13",skype,13,skype,23,"I didn't want them to hear me or hear what happens in my house, very often just because I didn't want to intervene",very often I watched a TV series while they were talking,mute the sound of my microphone signaling in chat that I had the microphone deactivated,22,random,"3,4",4,1,0,1,5,1,-1,1,-1,1,0.375,"Disable Access,","Watching TV,,","Hide Activities,","disable,"
11/15/21 8:11,11/15/21 8:16,0,100,288,1,11/15/21 8:16,R_3k23A9NO0XJJx12,anonymous,EN,1,1,1,2,3,1,1,8,1,3,,"2,4",,4,,23,To make sure the person speaking does not have any interruptions from my side.,Watch TV,It silences any noise from my side,22,random,"4,5",4,0,2,3,5,3,1,3,3,2,2.125,"Block Sending,","Watching TV,,","No interruption,","block sending,"
11/15/21 8:10,11/15/21 8:16,0,100,372,1,11/15/21 8:16,R_3kjMy7sGbjw6Rdd,anonymous,EN,1,1,1,2,6,2,5,8,2,1,,"2,5,6",,5,,23,"In order to not disturb the meeting with noise from my home or myself (drinking coffee, moving the chair, etc....)","Drinking coffee, moving things, moving myself. ",When I press the mute button no one can hear what I do or say. Everyone who is not talking should press the mute button to show respect for the talker. ,23,random,"2,3,4",4,3,3,3,5,2,1,1,1,1,1.875,"Block Sending,","Physical Activity,,","No interruption,","block sending,"
11/15/21 8:13,11/15/21 8:16,0,100,231,1,11/15/21 8:16,R_2q8xQtZYogwQOIt,anonymous,EN,1,1,1,2,4,1,10,8,3,3,,"2,12",,2,,23,I want privacy in my time. ,"Knitting, cleaning, cooking",It goes on,23,random,"4,5",4,3,3,3,5,3,2,2,3,3,2.75,",","Cleaning/Vacuum,Cooking/eating,","Hide Activities,",","
11/15/21 8:13,11/15/21 8:17,0,100,213,1,11/15/21 8:17,R_0fGhKyTB74FHzgd,anonymous,EN,1,1,1,2,4,2,2,8,1,1,,"4,13",Skype,4,,23,To avoid background noise,Check mobile messages. Eat or drink,Stops my microphone pickling up noise and broadcasting to meeting,23,Random,"3,4",4,1,2,3,5,3,0,1,1,0,1.375,"Block Sending,Disable Access","Cooking/eating,,","No interruption,","block sending,disable"
11/15/21 8:09,11/15/21 8:17,0,100,442,1,11/15/21 8:17,R_2aa9aANbXvhOoCd,anonymous,EN,1,1,1,2,6,2,3,8,1,1,,"2,4",,2,,23,Because someone else could be speaking and i can be busy with other things during the meeting.,Usually finishing my other work in the background,"Whatever i do, its not audible. The app mutes my activity",23,Random,4,4,2,2,2,5,3,1,2,2,1,1.875,"Generic,","Silent activities,,","No interruption,Hide Activities","generic,"
11/15/21 8:08,11/15/21 8:17,0,100,551,1,11/15/21 8:17,R_20ZODf1hErJX6OR,anonymous,EN,1,1,1,2,3,3,2,8,1,1,,"2,4,6",,4,,23,When someone is talking and I don't want to disturb them. ,Watching tv,"The app mutes the sounds from my side, shows that I'm on mute. ",23,Random,"2,3,4,5",4,-3,-3,-3,5,-3,-3,-3,-3,-3,-3,"Indicator,Block Sending","Watching TV,,","No interruption,","Visual/UI,block sending"
11/15/21 8:08,11/15/21 8:17,0,100,527,1,11/15/21 8:17,R_1gNL3dPNXxoBVAY,anonymous,EN,1,1,1,2,4,3,10,8,2,4,,"2,5",,5,,23,To not disturb the person conducting the meeting with any sounds on the background,I could perhaps be busy on my phone,It does not send through to the rest of the [articipants any sound that might be from my background,23,random,4,4,1,2,2,5,2,2,0,2,2,1.625,"Block Sending,","Silent activities,,","No interruption,","block sending,"
11/15/21 8:09,11/15/21 8:17,0,100,481,1,11/15/21 8:17,R_Zre7KDxV597jnzz,anonymous,EN,1,1,1,2,6,2,1,8,1,1,,"2,3,4",,4,,23,So as to not interrupt the speaker and for peace of mind.,"Playing on my phone, watching videos online, and doing housework.",It mutes your speaker and camera so that other participants cannot hear or see you,23,random,4,4,3,2,3,5,3,3,3,3,3,2.875,"Block Sending,","Online Videos/game,,","No interruption,","block sending,"
11/15/21 8:08,11/15/21 8:17,0,100,519,1,11/15/21 8:17,R_0AhXQtKJytKPfeF,anonymous,EN,1,1,1,1,6,3,3,8,1,"1,4",,"2,4",,4,,23,when i want to make a call on the side or busy doing something. Other times i mute people who are not muted and still talking on the background. ,"Cooking
Calls
bathroom ",No one can hear what happens in my background.,22,random,"2,3,4",4,2,1,2,5,3,1,2,1,1,1.625,"Block Sending,","Cooking/eating,,","Hide Activities,No interruption","block sending,"
11/15/21 8:07,11/15/21 8:17,0,100,593,1,11/15/21 8:17,R_3JFAG9wuPGZxab4,anonymous,EN,1,1,1,2,3,2,1,8,3,1,,"4,5",,5,,23,So that my colleagues do not hear disturbing noises,"Doing the laundry
Cooking
Eating
Watching TV
Answering private calls","The app mutes me, people cannot hear me but ì can hear them. When it detects my voice, it asks me if I'm trying to speak and then asks me to unmute if so",23,random,"3,4",4,2,1,3,5,3,1,3,2,1,2,"Block Sending,Sound Detection","Cooking/eating,Watching TV,Talking","No interruption,","block sending,sound detection"
11/15/21 8:10,11/15/21 8:17,0,100,425,1,11/15/21 8:17,R_2xPnw8SO6EZ3uQo,anonymous,EN,1,1,1,1,7,1,10,8,2,1,,"2,6,12",,2,,23,To avoid bothering other people in case of noises in my room / from my mic,Using my phone to check social medias,"It cuts every sounds around me and from my microphone. On my video thumbnail, there's a red crossed-out microphone to let other users know. ",23,random,"2,4",4,2,2,1,5,2,3,3,3,1,2.125,"Indicator,Disable Access","Silent activities,,","No interruption,","Visual/UI,Cut"
11/15/21 8:07,11/15/21 8:17,0,100,630,1,11/15/21 8:17,R_1lsIyTHWpxuO1Ze,anonymous,EN,1,1,1,2,5,3,1,8,3,1,,"2,3,4,5,8,12",,4,,23,To prevent noise when I'm not talking so it doesn't interfere with the meeting.,"Sometimes I'm working at the same time, writing notes, browsing, etc.",The turns the audio of my microphone off in the app or it doesn't send the audio,22,random,"2,4,5",4,3,3,3,5,3,-1,3,3,3,2.5,"Disable Access,Block Sending","Silent activities,,","No interruption,","disable,block sending"
11/15/21 8:12,11/15/21 8:17,0,100,307,1,11/15/21 8:17,R_3dT9hDnYpNNn87e,anonymous,EN,1,1,1,2,6,1,9,8,2,1,,"2,4,5",,4,,23,to not disturb the lesson,taking notes,it mutes the microphone,23,random,4,4,2,2,2,5,2,0,1,1,0,1.25,"Generic,","Silent activities,,","No interruption,","generic,"
11/15/21 8:11,11/15/21 8:17,0,100,363,1,11/15/21 8:17,R_1ieWqTunhi94crW,anonymous,EN,1,1,1,2,7,1,3,8,2,1,,"2,4",,2,,23,Because I was not leading the meeting and I just needed to pay attention to the information given,"Cooking, finish eating too.",It just mute my sound. ,23,Random,4,4,3,2,1,5,2,1,3,1,1,1.75,"Generic,","Cooking/eating,,","No Talk,","generic,"
11/15/21 8:12,11/15/21 8:18,0,100,345,1,11/15/21 8:18,R_2EfOYdPuNFS9GlV,anonymous,EN,1,1,1,1,7,2,1,8,1,1,,"2,4,5,6",,5,,23,To mute my background noise while the other attendees are speaking or presenting.,Listen,"Nothing, just shows that I have muted myself and will also show the other participants that I am on mute.",23,random,"2,3,4","2,3,4",2,2,3,5,3,3,3,3,2,2.625,"Indicator,","Silent activities,,","No interruption,","Visual/UI,"
11/15/21 8:13,11/15/21 8:18,0,100,283,1,11/15/21 8:18,R_3CC36l96wkG66Ua,anonymous,EN,1,1,1,2,6,2,1,8,1,1,,"2,4,5",,4,,23,"Only the presenter was allowed to speak, and everyone else had to be muted","Watching tv, cooking, doing hair/make up",the microphone icon on the screen is 'crossed out',23,random,"2,4",4,0,2,3,5,3,1,2,2,3,2,"Indicator,","Watching TV,Cooking/eating,","No Talk,","Visual/UI,"
11/15/21 8:10,11/15/21 8:18,0,100,472,1,11/15/21 8:18,R_12Dxh7haDMdokkT,anonymous,EN,1,1,1,1,6,1,10,8,1,1,,"2,4,12",,12,,23,To mute the microphone,"cooking, watching movies and series, eating","The application mutes the sound of my microphone and regardless of whether I am making a noise or not, it is not heard in the meeting",23,random,"3,4",4,2,1,-1,5,1,3,3,2,2,1.625,"Generic,Block Sending","Cooking/eating,Watching TV,","Generic,","generic,block sending"
11/15/21 8:11,11/15/21 8:18,0,100,425,1,11/15/21 8:18,R_2XhyD3u8a0xdBKB,anonymous,EN,1,1,1,1,6,1,1,8,1,1,,"2,4",,4,,23,to avoid disturbance when someone is talking or presenting,loud talking or distracting noise ,it disables you mic from picking any sounds ,22,random,4,4,2,1,3,5,3,1,-1,3,3,1.875,"Disable Access,","Talking,Street Noise,","No interruption,","disable,"
11/15/21 8:10,11/15/21 8:18,0,100,501,1,11/15/21 8:18,R_9SHrxaesZlI5HTX,anonymous,EN,1,1,1,2,3,2,2,8,3,1,,"2,4,12",,12,,23,I did not wanted to be heard at that moment or someone else was talking for a long time.,"Not necessarily an activity, just to feel confortable to cof or make any noise without being a disturbance","It mutes any sound that I might make, it shows others that I am muted",23,random,"2,3,4,5",4,3,3,3,5,2,2,3,3,2,2.625,"Generic,Indicator","Silent activities,,","Hide Activities,","generic,Visual/UI"
11/15/21 8:10,11/15/21 8:18,0,100,454,1,11/15/21 8:18,R_2VqlCM5IBLAYTIJ,anonymous,EN,1,1,1,2,6,2,7,8,1,1,,"2,4",,4,,23,I use the mute button when it is my turn to talk in a meeting.,I carry on with anything I need to do but will still allow me to hear what is happening in the meeting such as cleaning and cooking. ,The app stops the other people in the meeting from hearing anything I say or anything happening in the background while in the meeting.,23,random,4,4,3,3,3,5,3,3,1,2,3,2.625,"Block Sending,","Cleaning/Vacuum,Cooking/eating,","No Talk,","block sending,"
11/15/21 8:08,11/15/21 8:18,0,100,629,1,11/15/21 8:18,R_50eQmdY0MA8mE6d,anonymous,EN,1,1,1,2,3,1,10,7,1,1,,"2,3,4,5,13",TeamViewer,2,,23,"During a video meeting, I used the mute button to block everyone on the meeting to not hear my sound to no cause any distractions",Family talking in the background. Tv noise,"The app blocks sound from being transmitted, therefore no one can hear you",23,random,"2,4,5","2,4",3,1,3,5,3,2,3,3,3,2.625,"Block Sending,","Talking,Watching TV,","No interruption,","block sending,"
11/15/21 8:09,11/15/21 8:18,0,100,570,1,11/15/21 8:18,R_VOmEIShRe1tabZv,anonymous,EN,1,1,1,2,4,4,10,8,3,1,,"2,5",,2,,23,Before and after commenting/participating in the meeting I would use the mute button.,"Simultaneously take notes in OneNote, access online material or content relevant to the meeting, and occasionally have tea, snack during the course of the meeting with video off.",It prevents any sound from my mic being transmitted to the participants in the meeting.,23,random,"2,3,4,5","3,4,5",3,3,3,5,3,0,1,0,-2,1.375,"Block Sending,","Silent activities,,","No Talk,","block sending,"
